entrada,salida
según takeyas 2007 la ia es una rama de las ciencias computacionales encargada de estudiar modelos de cómputo capaces de realizar actividades propias de los seres humanos con base en dos de sus características primordiales el razonamiento y la conducta,"Según Takeyas 2007 , la IA es una rama de las ciencias computacionales encargada de estudiar modelos de cómputo capaces de realizar actividades propias de los seres humanos con base en dos de sus características primordiales el razonamiento y la conducta."
en 1956 john mccarthy acuñó la expresión inteligencia artificial y la definió como la ciencia e ingenio de hacer máquinas inteligentes especialmente programas de cómputo inteligentes,"En 1956, John McCarthy acuñó la expresión inteligencia artificial , y la definió como la ciencia e ingenio de hacer máquinas inteligentes, especialmente programas de cómputo inteligentes ."
grau-luque contrasta diferentes definiciones desde diversas fuentes y autores destacando que difieren dependiendo de en qué campo específico se usen esto lleva al autor a definir inteligencia artificial como sistemas que llevan a cabo tareas consideradas inteligentes para luego asociar conceptos como aprendizaje y razonamiento con el aprendizaje automático como una subdisciplina de la inteligencia artificial,"Grau-Luque contrasta diferentes definiciones desde diversas fuentes y autores, destacando que difieren dependiendo de en qué campo específico se usen .Esto lleva al autor a definir inteligencia artificial como sistemas que llevan a cabo tareas consideradas inteligentes , para luego asociar conceptos como aprendizaje y razonamiento con el aprendizaje automático como una subdisciplina de la inteligencia artificial."
también existen distintos tipos de percepciones y acciones que pueden ser obtenidas y producidas respectivamente por sensores físicos y sensores mecánicos en máquinas pulsos eléctricos u ópticos en computadoras tanto como por entradas y salidas de bits de un software y su entorno hardware,"También existen distintos tipos de percepciones y acciones, que pueden ser obtenidas y producidas, respectivamente, por sensores físicos y sensores mecánicos en máquinas, pulsos eléctricos u ópticos en computadoras, tanto como por entradas y salidas de bits de un software y su entorno hardware."
varios ejemplos se encuentran en el área de control de sistemas planificación automática la capacidad de responder a diagnósticos y a consultas de los consumidores reconocimiento de escritura reconocimiento del habla y reconocimiento de patrones los sistemas de ia actualmente son parte de la rutina en campos como economía medicina ingeniería el transporte las comunicaciones y la milicia y se ha usado en gran variedad de programas informáticos juegos de estrategia como ajedrez de computador y otros videojuegos,"Varios ejemplos se encuentran en el área de control de sistemas, planificación automática, la capacidad de responder a diagnósticos y a consultas de los consumidores, reconocimiento de escritura, reconocimiento del habla y reconocimiento de patrones. Los sistemas de IA actualmente son parte de la rutina en campos como economía, medicina, ingeniería, el transporte, las comunicaciones y la milicia, y se ha usado en gran variedad de programas informáticos, juegos de estrategia, como ajedrez de computador, y otros videojuegos."
asimismo la inteligencia artificial se está desarrollando en la plataforma digital cada vez más evolucionando y creando nuevas herramientas como la plataforma laboral que existe desde el año 2023 llamada sivium una herramienta por la cual una persona postula en forma automatizada a todas las ofertas laborales de todos los portales de trabajo sin necesidad de estar revisando cada oferta laboral que se presente y enviar su cv uno por uno,"Asimismo la inteligencia artificial se está desarrollando en la plataforma digital cada vez más, evolucionando y creando nuevas herramientas, como la plataforma laboral que existe desde el año 2023 llamada SIVIUM, una herramienta por la cual una persona postula en forma automatizada a todas las ofertas laborales de todos los portales de trabajo, sin necesidad de estar revisando cada oferta laboral que se presente y enviar su CV uno por uno."
stuart j russell y peter norvig diferencian varios tipos de inteligencia artificial,Stuart J. Russell y Peter Norvig diferencian varios tipos de inteligencia artificial
los sistemas que piensan como humanos estos sistemas tratan de emular el pensamiento humano por ejemplo las redes neuronales artificiales la automatización de actividades que vinculamos con procesos de pensamiento humano actividades como la toma de decisiones resolución de problemas y aprendizaje,"Los sistemas que piensan como humanos Estos sistemas tratan de emular el pensamiento humano por ejemplo, las redes neuronales artificiales. La automatización de actividades que vinculamos con procesos de pensamiento humano, actividades como la toma de decisiones, resolución de problemas y aprendizaje."
los sistemas que actúan como humanos estos sistemas tratan de actuar como humanos es decir imitan el comportamiento humano por ejemplo la robótica el estudio de cómo lograr que los computadores realicen tareas que por el momento los humanos hacen mejor,"Los sistemas que actúan como humanos Estos sistemas tratan de actuar como humanos es decir, imitan el comportamiento humano por ejemplo, la robótica el estudio de cómo lograr que los computadores realicen tareas que, por el momento, los humanos hacen mejor ."
los sistemas que piensan racionalmente es decir con lógica idealmente tratan de imitar el pensamiento racional del ser humano por ejemplo los sistemas expertos el estudio de los cálculos que hacen posible percibir razonar y actuar,"Los sistemas que piensan racionalmente Es decir, con lógica idealmente , tratan de imitar el pensamiento racional del ser humano por ejemplo, los sistemas expertos, el estudio de los cálculos que hacen posible percibir, razonar y actuar ."
los sistemas que actúan racionalmente tratan de emular de forma racional el comportamiento humano por ejemplo los agentes inteligentes que están relacionados con conductas inteligentes en artefactos,"Los sistemas que actúan racionalmente Tratan de emular de forma racional el comportamiento humano por ejemplo, los agentes inteligentes, que están relacionados con conductas inteligentes en artefactos."
la inteligencia artificial generativa es un tipo de sistema de inteligencia artificial capaz de generar texto imágenes u otros medios en respuesta a comandos de texto conocidos como prompts un prompt es la instrucción pregunta o conjunto de indicaciones para que la inteligencia artificial realice la tarea específica proporcione la respuesta requerida la calidad del prompt influye directamente en la calidad de la respuesta,"La inteligencia artificial generativa es un tipo de sistema de inteligencia artificial capaz de generar texto, imágenes u otros medios en respuesta a comandos de texto conocidos como prompts . Un prompt es la instrucción, pregunta o conjunto de indicaciones para que la inteligencia artificial realice la tarea específica proporcione la respuesta requerida. La calidad del prompt influye directamente en la calidad de la respuesta."
los modelos de ia generativa aprenden los patrones y la estructura de sus datos de entrenamiento de entrada y luego generan nuevos datos que tienen características similares,"Los modelos de IA generativa aprenden los patrones y la estructura de sus datos de entrenamiento de entrada, y luego generan nuevos datos que tienen características similares."
los sistemas de ia generativa notables incluyen chatgpt y su variante microsoft copilot un bot conversacional creado por openai usando sus modelos de lenguaje grande fundacionales gpt-3 y gpt-4 gemini anteriormente llamado bard un bot conversacional creado por google usando el modelo de lenguaje gemini y claude un bot conversacional creado por anthropic usando los modelos del mismo nombre otros modelos generativos de ia incluyen sistemas de arte de inteligencia artificial como stable diffusion midjourney y dall-e que permiten crear imágenes actualmente la ia generativa puede crear texto código imágenes vídeo música voces y efectos de sonido,"Los sistemas de IA generativa notables incluyen ChatGPT y su variante Microsoft Copilot , un bot conversacional creado por OpenAI usando sus modelos de lenguaje grande fundacionales GPT-3 y GPT-4 Gemini anteriormente llamado Bard , un bot conversacional creado por Google usando el modelo de lenguaje Gemini y Claude, un bot conversacional creado por Anthropic usando los modelos del mismo nombre.Otros modelos generativos de IA incluyen sistemas de arte de inteligencia artificial como Stable Diffusion, Midjourney y DALL-E, que permiten crear imágenes. Actualmente la IA generativa puede crear texto, código, imágenes, vídeo, música, voces y efectos de sonido."
la inteligencia artificial fuerte iga es un tipo hipotético de inteligencia artificial que iguala o excede la inteligencia humana promedio si se hiciera realidad una iga podría aprender a realizar cualquier tarea intelectual que los seres humanos o los animales puedan llevar a cabo alternativamente la iga se ha definido como un sistema autónomo que supera las capacidades humanas en la mayoría de las tareas económicamente valiosas,"La Inteligencia artificial fuerte IGA es un tipo hipotético de inteligencia artificial que iguala o excede la inteligencia humana promedio. Si se hiciera realidad, una IGA podría aprender a realizar cualquier tarea intelectual que los seres humanos o los animales puedan llevar a cabo. Alternativamente, la IGA se ha definido como un sistema autónomo que supera las capacidades humanas en la mayoría de las tareas económicamente valiosas."
algunos sostienen que podría ser posible en años o décadas otros que podría tardar un siglo o más y una minoría cree que quizá nunca se consiga existe un debate sobre la definición exacta de iga y sobre si los grandes modelos de lenguaje llm modernos como el gpt-4 son formas tempranas pero incompletas de iga,"Algunos sostienen que podría ser posible en años o décadas otros, que podría tardar un siglo o más y una minoría cree que quizá nunca se consiga. Existe un debate sobre la definición exacta de IGA y sobre si los grandes modelos de lenguaje LLM modernos, como el GPT-4, son formas tempranas pero incompletas de IGA."
la inteligencia artificial explicable se refiere a métodos y técnicas en la aplicación de tecnología de inteligencia artificial por los que el ser humano es capaz de comprender las decisiones y predicciones realizadas por la inteligencia artificial,La inteligencia artificial explicable se refiere a métodos y técnicas en la aplicación de tecnología de inteligencia artificial por los que el ser humano es capaz de comprender las decisiones y predicciones realizadas por la inteligencia artificial.
la inteligencia artificial amigable es una ia fuerte e hipotética que puede tener un efecto positivo más que uno negativo sobre la humanidad 'amigable' es usado en este contexto como terminología técnica y escoge agentes que son seguros y útiles no necesariamente aquellos que son amigables en el sentido coloquial el concepto es invocado principalmente en el contexto de discusiones de agentes artificiales de automejora recursiva que rápidamente explota en inteligencia con el argumento de que esta tecnología hipotética pudiera tener una larga rápida y difícil tarea de controlar el impacto en la sociedad humana,"La inteligencia artificial amigable es una IA fuerte e hipotética que puede tener un efecto positivo más que uno negativo sobre la humanidad. 'Amigable' es usado en este contexto como terminología técnica y escoge agentes que son seguros y útiles, no necesariamente aquellos que son amigables en el sentido coloquial. El concepto es invocado principalmente en el contexto de discusiones de agentes artificiales de automejora recursiva que rápidamente explota en inteligencia, con el argumento de que esta tecnología hipotética pudiera tener una larga, rápida y difícil tarea de controlar el impacto en la sociedad humana."
la inteligencia artificial multimodal es un tipo de inteligencia artificial que puede procesar e integrar datos de diferentes modalidades como texto imágenes audio y video para obtener una comprensión más completa y contextualizada de una situación la inteligencia artificial multimodal se inspira en la forma en que los humanos usan varios sentidos para percibir e interactuar con el mundo y ofrece una forma más natural e intuitiva de comunicarse con la tecnología,"La inteligencia artificial multimodal es un tipo de inteligencia artificial que puede procesar e integrar datos de diferentes modalidades, como texto, imágenes, audio y video, para obtener una comprensión más completa y contextualizada de una situación. La inteligencia artificial multimodal se inspira en la forma en que los humanos usan varios sentidos para percibir e interactuar con el mundo, y ofrece una forma más natural e intuitiva de comunicarse con la tecnología."
la inteligencia artificial cuántica es un campo interdisciplinar que se enfoca en construir algoritmos cuánticos para mejorar las tareas computacionales dentro de la ia incluyendo subcampos como el aprendizaje automático existen evidencias que muestran una posible ventaja cuadrática cuántica en operaciones fundamentales de la ia,"La inteligencia artificial Cuántica es un campo interdisciplinar que se enfoca en construir algoritmos cuánticos para mejorar las tareas computacionales dentro de la IA, incluyendo subcampos como el aprendizaje automático. Existen evidencias que muestran una posible ventaja cuadrática cuántica en operaciones fundamentales de la IA."
se conoce también como ia simbólica-deductiva está basada en el análisis formal y estadístico del comportamiento humano ante diferentes problemas,Se conoce también como IA simbólica-deductiva. Está basada en el análisis formal y estadístico del comportamiento humano ante diferentes problemas
razonamiento basado en casos ayuda a tomar decisiones mientras se resuelven ciertos problemas concretos y aparte de que son muy importantes requieren de un buen funcionamiento,"Razonamiento basado en casos Ayuda a tomar decisiones mientras se resuelven ciertos problemas concretos y, aparte de que son muy importantes, requieren de un buen funcionamiento."
sistemas expertos infieren una solución a través del conocimiento previo del contexto en que se aplica y utiliza ciertas reglas o relaciones,Sistemas expertos Infieren una solución a través del conocimiento previo del contexto en que se aplica y utiliza ciertas reglas o relaciones.
inteligencia artificial basada en comportamientos esta inteligencia contiene autonomía es decir puede autorregularse y controlarse para mejorar,"Inteligencia artificial basada en comportamientos Esta inteligencia contiene autonomía, es decir, puede autorregularse y controlarse para mejorar."
smart process management facilita la toma de decisiones complejas proponiendo una solución a un determinado problema al igual que lo haría un especialista en dicha actividad,"Smart process management Facilita la toma de decisiones complejas, proponiendo una solución a un determinado problema al igual que lo haría un especialista en dicha actividad."
la inteligencia computacional también conocida como ia subsimbólica-inductiva implica desarrollo o aprendizaje interactivo por ejemplo modificaciones interactivas de los parámetros en sistemas de conexiones el aprendizaje se realiza basándose en datos empíricos,"La inteligencia computacional también conocida como IA subsimbólica-inductiva implica desarrollo o aprendizaje interactivo por ejemplo, modificaciones interactivas de los parámetros en sistemas de conexiones . El aprendizaje se realiza basándose en datos empíricos."
la inteligencia computacional tiene una doble finalidad por un lado su objetivo científico es comprender los principios que posibilitan el comportamiento inteligente ya sea en sistemas naturales o artificiales y por otro su objetivo tecnológico consiste en especificar los métodos para diseñar sistemas inteligentes,"La inteligencia computacional tiene una doble finalidad. Por un lado, su objetivo científico es comprender los principios que posibilitan el comportamiento inteligente ya sea en sistemas naturales o artificiales y, por otro, su objetivo tecnológico consiste en especificar los métodos para diseñar sistemas inteligentes."
la expresión inteligencia artificial fue acuñada formalmente en 1955 en el documento con la propuesta para la conferencia de dartmouth como una manera de separar la disciplina del campo de los autómatas y señalar su objetivo prioritario de la creación de máquinas que realizasen tareas similares a la inteligencia humana el término además parecía más apropiado para obtener subvenciones que el original de estudios de autómatas como explicó uno de sus autores john mccarthy en el debate lighthill de 1973,"La expresión inteligencia artificial fue acuñada formalmente en 1955 en el documento con la propuesta para la Conferencia de Dartmouth como una manera de separar la disciplina del campo de los autómatas y señalar su objetivo prioritario de la creación de máquinas que realizasen tareas similares a la inteligencia humana. El término además parecía más apropiado para obtener subvenciones que el original de estudios de autómatas , como explicó uno de sus autores, John McCarthy, en el debate Lighthill de 1973"
las ideas más básicas se remontan a los antiguos griegos aristóteles 384-322 a c fue el primero en describir un conjunto de reglas que describen una parte del funcionamiento de la mente para obtener conclusiones racionales y ctesibio de alejandría 250 a c construyó la primera máquina autocontrolada un regulador del flujo de agua racional pero sin razonamiento,"Las ideas más básicas se remontan a los antiguos griegos. Aristóteles 384-322 a. C. fue el primero en describir un conjunto de reglas que describen una parte del funcionamiento de la mente para obtener conclusiones racionales, y Ctesibio de Alejandría 250 a. C. construyó la primera máquina autocontrolada, un regulador del flujo de agua racional pero sin razonamiento ."
en 1315 ramon llull en su libro ars magna tuvo la idea de que el razonamiento podía ser efectuado de manera artificial,En 1315 Ramon Llull en su libro Ars magna tuvo la idea de que el razonamiento podía ser efectuado de manera artificial.
en 1840 ada lovelace previó la capacidad de las máquinas para ir más allá de los simples cálculos y aportó una primera idea de lo que sería el software,En 1840 Ada Lovelace previó la capacidad de las máquinas para ir más allá de los simples cálculos y aportó una primera idea de lo que sería el software.
en 1912 leonardo torres quevedo desarrolló un autómata capaz de jugar al ajedrez el ajedrecista,"En 1912 Leonardo Torres Quevedo, desarrolló un autómata capaz de jugar al ajedrez el ajedrecista ."
en 1936 alan turing diseña formalmente una máquina universal que demuestra la viabilidad de un dispositivo físico para implementar cualquier cómputo formalmente definido,En 1936 Alan Turing diseña formalmente una Máquina universal que demuestra la viabilidad de un dispositivo físico para implementar cualquier cómputo formalmente definido.
en 1943 warren mcculloch y walter pitts presentaron su modelo de neuronas artificiales el cual se considera el primer trabajo del campo aun cuando todavía no existía el término los primeros avances importantes comenzaron a principios del año 1950 con el trabajo de alan turing a partir de lo cual la ciencia ha pasado por diversas situaciones,"En 1943 Warren McCulloch y Walter Pitts presentaron su modelo de neuronas artificiales, el cual se considera el primer trabajo del campo, aun cuando todavía no existía el término. Los primeros avances importantes comenzaron a principios del año 1950 con el trabajo de Alan Turing, a partir de lo cual la ciencia ha pasado por diversas situaciones."
en 1955 herbert simon allen newell y joseph carl shaw desarrollan el primer lenguaje de programación orientado a la resolución de problemas el ipl-11 un año más tarde desarrollan el logictheorist el cual era capaz de demostrar teoremas matemáticos,"En 1955 Herbert Simon, Allen Newell y Joseph Carl Shaw, desarrollan el primer lenguaje de programación orientado a la resolución de problemas, el IPL-11. Un año más tarde desarrollan el LogicTheorist, el cual era capaz de demostrar teoremas matemáticos."
en 1955 fue ideada la expresión inteligencia artificial por john mccarthy marvin minsky y claude shannon en el documento con la propuesta para la conferencia de dartmouth de 1956 el término fue introducido como una manera de separar la disciplina del campo de los autómatas y señalar su objetivo prioritario de la creación de máquinas que realizasen tareas similares a la inteligencia humana el término además parecía más apropiado para obtener subvenciones que el original de estudios de autómatas como explicó uno de sus autores john mccarthy en el debate lighthill de 1973 en la conferencia se hicieron previsiones triunfalistas a diez años que jamás se cumplieron lo que provocó el abandono casi total de las investigaciones durante quince años,"En 1955 fue ideada la expresión inteligencia artificial por John McCarthy, Marvin Minsky y Claude Shannon en el documento con la propuesta para la Conferencia de Dartmouth de 1956. El término fue introducido como una manera de separar la disciplina del campo de los autómatas y señalar su objetivo prioritario de la creación de máquinas que realizasen tareas similares a la inteligencia humana. El término además parecía más apropiado para obtener subvenciones que el original de estudios de autómatas , como explicó uno de sus autores, John McCarthy, en el debate Lighthill de 1973 En la conferencia se hicieron previsiones triunfalistas a diez años que jamás se cumplieron, lo que provocó el abandono casi total de las investigaciones durante quince años."
en 1957 newell y simon continúan su trabajo con el desarrollo del general problem solver gps gps era un sistema orientado a la resolución de problemas,En 1957 Newell y Simon continúan su trabajo con el desarrollo del General Problem Solver GPS . GPS era un sistema orientado a la resolución de problemas.
en 1958 john mccarthy desarrolla en el instituto tecnológico de massachusetts mit el lisp su nombre se deriva de list processor lisp fue el primer lenguaje para procesamiento simbólico,En 1958 John McCarthy desarrolla en el Instituto Tecnológico de Massachusetts MIT el LISP. Su nombre se deriva de LISt Processor. LISP fue el primer lenguaje para procesamiento simbólico.
a finales de la década de 1950 y comienzos de la de 1960 robert k lindsay desarrolla sad sam un programa para la lectura de oraciones en inglés y la inferencia de conclusiones a partir de su interpretación,"A finales de la década de 1950 y comienzos de la de 1960 Robert K. Lindsay desarrolla Sad Sam , un programa para la lectura de oraciones en inglés y la inferencia de conclusiones a partir de su interpretación."
en 1963 quillian desarrolla las redes semánticas como modelo de representación del conocimiento,En 1963 Quillian desarrolla las redes semánticas como modelo de representación del conocimiento.
en 1964 bertrand raphael construye el sistema sir semantic information retrieval el cual era capaz de inferir conocimiento basado en información que se le suministra bobrow desarrolla student,En 1964 Bertrand Raphael construye el sistema SIR Semantic Information Retrieval el cual era capaz de inferir conocimiento basado en información que se le suministra. Bobrow desarrolla STUDENT.
a mediados de los años 60 aparecen los sistemas expertos que predicen la probabilidad de una solución bajo un set de condiciones por ejemplo dendral iniciado en 1965 por buchanan feigenbaum y lederberg el primer sistema experto que asistía a químicos en estructuras químicas complejas macsyma que asistía a ingenieros y científicos en la solución de ecuaciones matemáticas complejas,"A mediados de los años 60, aparecen los sistemas expertos, que predicen la probabilidad de una solución bajo un set de condiciones. Por ejemplo, DENDRAL, iniciado en 1965 por Buchanan, Feigenbaum y Lederberg, el primer Sistema Experto, que asistía a químicos en estructuras químicas complejas, MACSYMA, que asistía a ingenieros y científicos en la solución de ecuaciones matemáticas complejas."
posteriormente entre los años 1968-1970 terry winograd desarrolló el sistema shrdlu que permitía interrogar y dar órdenes a un robot que se movía dentro de un mundo de bloques,"Posteriormente entre los años 1968-1970 Terry Winograd desarrolló el sistema SHRDLU, que permitía interrogar y dar órdenes a un robot que se movía dentro de un mundo de bloques."
en 1966 y 1972 artificial intelligence center desarrollo el robot shakey considerado el primer robot inteligente de la historia el robot incluía visión artificial y tenía la capacidad de percibir y razonar sobre su entorno,"En 1966 y 1972 Artificial Intelligence Center desarrollo el Robot Shakey, considerado el primer robot inteligente de la historia. El robot incluía visión artificial, y tenía la capacidad de percibir y razonar sobre su entorno."
en 1968 seymour papert danny bobrow y wally feurzeig desarrollan el lenguaje de programación logo,"En 1968 Seymour Papert, Danny Bobrow y Wally Feurzeig desarrollan el lenguaje de programación LOGO."
en 1969 alan kay desarrolla el lenguaje smalltalk en xerox parc y se publica en 1980,En 1969 Alan Kay desarrolla el lenguaje Smalltalk en Xerox PARC y se publica en 1980.
